song_title,album_title,album_release_date_raw,album_release_date_iso,disc_number,track_number,release_group_mbid,release_mbid,recording_mbid
Darlington County,Born in the U.S.A.,1984,1984-01-01,1,,3c39a076-8e52-38f2-8076-260d0672fb23,6be95ac7-748f-4591-8557-6eab3b1c57b1,0e71119b-65bb-4e34-a8b0-8870d4cc213a
Working on the Highway,Born in the U.S.A.,1984,1984-01-01,1,,3c39a076-8e52-38f2-8076-260d0672fb23,6be95ac7-748f-4591-8557-6eab3b1c57b1,bf39f6ca-2bea-4c64-af05-e907dfa6c4e2
Downbound Train,Born in the U.S.A.,1984,1984-01-01,1,,3c39a076-8e52-38f2-8076-260d0672fb23,6be95ac7-748f-4591-8557-6eab3b1c57b1,a8cddb19-5bc2-409c-b147-5595731076af
I’m on Fire,Born in the U.S.A.,1984,1984-01-01,1,,3c39a076-8e52-38f2-8076-260d0672fb23,6be95ac7-748f-4591-8557-6eab3b1c57b1,457e1032-1e7f-451b-933e-aa8a23fa7c20
No Surrender,Born in the U.S.A.,1984,1984-01-01,1,,3c39a076-8e52-38f2-8076-260d0672fb23,6be95ac7-748f-4591-8557-6eab3b1c57b1,7d6ea922-dd25-4a27-85bc-f6279fd20bd3
Bobby Jean,Born in the U.S.A.,1984,1984-01-01,1,,3c39a076-8e52-38f2-8076-260d0672fb23,6be95ac7-748f-4591-8557-6eab3b1c57b1,619ee6cc-e9b6-4bd5-a6de-afd5cdebd96e
I’m Goin’ Down,Born in the U.S.A.,1984,1984-01-01,1,,3c39a076-8e52-38f2-8076-260d0672fb23,6be95ac7-748f-4591-8557-6eab3b1c57b1,9b4eae4f-fc37-4078-92de-6bd6a1ab21ec
Glory Days,Born in the U.S.A.,1984,1984-01-01,1,,3c39a076-8e52-38f2-8076-260d0672fb23,6be95ac7-748f-4591-8557-6eab3b1c57b1,914c9160-2084-4a5e-b8c2-8813df6bbf21
Dancing in the Dark,Born in the U.S.A.,1984,1984-01-01,1,,3c39a076-8e52-38f2-8076-260d0672fb23,6be95ac7-748f-4591-8557-6eab3b1c57b1,f2f99a81-9375-4557-8138-2a0a297f5c85
My Hometown,Born in the U.S.A.,1984,1984-01-01,1,,3c39a076-8e52-38f2-8076-260d0672fb23,6be95ac7-748f-4591-8557-6eab3b1c57b1,cf0afe0f-7fd7-4cb9-87a1-82a960739c2b
Ain’t Got You,Tunnel of Love,1987,1987-01-01,1,,b3559cb2-d7ad-32eb-a17e-54a873ce4122,54c0a631-9f0f-4189-88a1-e64fabe68504,15937bdb-673b-4a04-8a1d-7071348dadeb
Tougher Than the Rest,Tunnel of Love,1987,1987-01-01,1,,b3559cb2-d7ad-32eb-a17e-54a873ce4122,54c0a631-9f0f-4189-88a1-e64fabe68504,e7c22627-9e89-47d5-a526-ec494212fb2c
All That Heaven Will Allow,Tunnel of Love,1987,1987-01-01,1,,b3559cb2-d7ad-32eb-a17e-54a873ce4122,54c0a631-9f0f-4189-88a1-e64fabe68504,179f299e-24a1-4f4c-8d3e-e79086c71723
Spare Parts,Tunnel of Love,1987,1987-01-01,1,,b3559cb2-d7ad-32eb-a17e-54a873ce4122,54c0a631-9f0f-4189-88a1-e64fabe68504,c8402b44-638e-42ed-a98c-4ab4e441fd1c
