song_title,album_release_date_iso,play_date_iso
Backstreets,1975-01-01,1975-10-18
Kitty’s Back,1973-01-01,1975-10-18
Jungleland,1975-01-01,1975-10-18
Rosalita (Come Out Tonight),1973-01-01,1975-10-18
Thunder Road,1975-01-01,1975-10-17
Tenth Avenue Freeze‐Out,1975-01-01,1975-10-17
Spirit in the Night,1973-01-01,1975-10-17
She’s the One,1975-01-01,1975-10-17
Born to Run,1975-01-01,1975-10-17
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-10-17
Backstreets,1975-01-01,1975-10-17
Kitty’s Back,1973-01-01,1975-10-17
Jungleland,1975-01-01,1975-10-17
Rosalita (Come Out Tonight),1973-01-01,1975-10-17
Thunder Road,1975-01-01,1975-10-17
Tenth Avenue Freeze‐Out,1975-01-01,1975-10-17
Spirit in the Night,1973-01-01,1975-10-17
She’s the One,1975-01-01,1975-10-17
Born to Run,1975-01-01,1975-10-17
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-10-17
Backstreets,1975-01-01,1975-10-17
Kitty’s Back,1973-01-01,1975-10-17
Jungleland,1975-01-01,1975-10-17
Rosalita (Come Out Tonight),1973-01-01,1975-10-17
Thunder Road,1975-01-01,1975-10-16
Tenth Avenue Freeze‐Out,1975-01-01,1975-10-16
Spirit in the Night,1973-01-01,1975-10-16
She’s the One,1975-01-01,1975-10-16
Born to Run,1975-01-01,1975-10-16
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-10-16
Backstreets,1975-01-01,1975-10-16
Kitty’s Back,1973-01-01,1975-10-16
Jungleland,1975-01-01,1975-10-16
Rosalita (Come Out Tonight),1973-01-01,1975-10-16
Incident on 57th Street,1973-01-01,1975-10-11
Tenth Avenue Freeze‐Out,1975-01-01,1975-10-11
Spirit in the Night,1973-01-01,1975-10-11
She’s the One,1975-01-01,1975-10-11
Born to Run,1975-01-01,1975-10-11
Backstreets,1975-01-01,1975-10-11
Kitty’s Back,1973-01-01,1975-10-11
Jungleland,1975-01-01,1975-10-11
Rosalita (Come Out Tonight),1973-01-01,1975-10-11
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-10-11
Meeting Across the River,1975-01-01,1975-10-11
Tenth Avenue Freeze‐Out,1975-01-01,1975-10-11
Spirit in the Night,1973-01-01,1975-10-11
She’s the One,1975-01-01,1975-10-11
Born to Run,1975-01-01,1975-10-11
Night,1975-01-01,1975-10-11
Kitty’s Back,1973-01-01,1975-10-11
Thunder Road,1975-01-01,1975-10-11
Jungleland,1975-01-01,1975-10-11
Rosalita (Come Out Tonight),1973-01-01,1975-10-11
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-10-11
Tenth Avenue Freeze‐Out,1975-01-01,1975-10-04
Spirit in the Night,1973-01-01,1975-10-04
She’s the One,1975-01-01,1975-10-04
Born to Run,1975-01-01,1975-10-04
Backstreets,1975-01-01,1975-10-04
Kitty’s Back,1973-01-01,1975-10-04
Jungleland,1975-01-01,1975-10-04
Rosalita (Come Out Tonight),1973-01-01,1975-10-04
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-10-04
Meeting Across the River,1975-01-01,1975-10-02
Tenth Avenue Freeze‐Out,1975-01-01,1975-10-02
Spirit in the Night,1973-01-01,1975-10-02
She’s the One,1975-01-01,1975-10-02
Born to Run,1975-01-01,1975-10-02
Thunder Road,1975-01-01,1975-10-02
It’s Hard to Be a Saint in the City,1973-01-01,1975-10-02
Kitty’s Back,1973-01-01,1975-10-02
Jungleland,1975-01-01,1975-10-02
Rosalita (Come Out Tonight),1973-01-01,1975-10-02
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-10-02
Meeting Across the River,1975-01-01,1975-09-30
Tenth Avenue Freeze‐Out,1975-01-01,1975-09-30
Spirit in the Night,1973-01-01,1975-09-30
She’s the One,1975-01-01,1975-09-30
It’s Hard to Be a Saint in the City,1973-01-01,1975-09-30
Backstreets,1975-01-01,1975-09-30
Born to Run,1975-01-01,1975-09-30
Thunder Road,1975-01-01,1975-09-30
Kitty’s Back,1973-01-01,1975-09-30
Rosalita (Come Out Tonight),1973-01-01,1975-09-30
Jungleland,1975-01-01,1975-09-30
Meeting Across the River,1975-01-01,1975-09-28
Tenth Avenue Freeze‐Out,1975-01-01,1975-09-28
Spirit in the Night,1973-01-01,1975-09-28
She’s the One,1975-01-01,1975-09-28
It’s Hard to Be a Saint in the City,1973-01-01,1975-09-28
Born to Run,1975-01-01,1975-09-28
Night,1975-01-01,1975-09-28
Backstreets,1975-01-01,1975-09-28
Kitty’s Back,1973-01-01,1975-09-28
Jungleland,1975-01-01,1975-09-28
Rosalita (Come Out Tonight),1973-01-01,1975-09-28
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-09-28
Meeting Across the River,1975-01-01,1975-09-27
Tenth Avenue Freeze‐Out,1975-01-01,1975-09-27
Spirit in the Night,1973-01-01,1975-09-27
She’s the One,1975-01-01,1975-09-27
It’s Hard to Be a Saint in the City,1973-01-01,1975-09-27
Born to Run,1975-01-01,1975-09-27
Night,1975-01-01,1975-09-27
Thunder Road,1975-01-01,1975-09-27
Kitty’s Back,1973-01-01,1975-09-27
Jungleland,1975-01-01,1975-09-27
Rosalita (Come Out Tonight),1973-01-01,1975-09-27
Meeting Across the River,1975-01-01,1975-09-26
Tenth Avenue Freeze‐Out,1975-01-01,1975-09-26
Spirit in the Night,1973-01-01,1975-09-26
Growin’ Up,1973-01-01,1975-09-26
It’s Hard to Be a Saint in the City,1973-01-01,1975-09-26
Backstreets,1975-01-01,1975-09-26
She’s the One,1975-01-01,1975-09-26
Born to Run,1975-01-01,1975-09-26
Kitty’s Back,1973-01-01,1975-09-26
Jungleland,1975-01-01,1975-09-26
Rosalita (Come Out Tonight),1973-01-01,1975-09-26
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-09-26
Thunder Road,1975-01-01,1975-09-25
Tenth Avenue Freeze‐Out,1975-01-01,1975-09-25
Spirit in the Night,1973-01-01,1975-09-25
Growin’ Up,1973-01-01,1975-09-25
It’s Hard to Be a Saint in the City,1973-01-01,1975-09-25
She’s the One,1975-01-01,1975-09-25
Born to Run,1975-01-01,1975-09-25
Backstreets,1975-01-01,1975-09-25
Kitty’s Back,1973-01-01,1975-09-25
Jungleland,1975-01-01,1975-09-25
Rosalita (Come Out Tonight),1973-01-01,1975-09-25
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-09-25
Thunder Road,1975-01-01,1975-09-23
Tenth Avenue Freeze‐Out,1975-01-01,1975-09-23
Spirit in the Night,1973-01-01,1975-09-23
Growin’ Up,1973-01-01,1975-09-23
It’s Hard to Be a Saint in the City,1973-01-01,1975-09-23
She’s the One,1975-01-01,1975-09-23
Born to Run,1975-01-01,1975-09-23
Backstreets,1975-01-01,1975-09-23
Jungleland,1975-01-01,1975-09-23
Rosalita (Come Out Tonight),1973-01-01,1975-09-23
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-09-23
Incident on 57th Street,1973-01-01,1975-09-21
Tenth Avenue Freeze‐Out,1975-01-01,1975-09-21
Spirit in the Night,1973-01-01,1975-09-21
Growin’ Up,1973-01-01,1975-09-21
It’s Hard to Be a Saint in the City,1973-01-01,1975-09-21
She’s the One,1975-01-01,1975-09-21
Born to Run,1975-01-01,1975-09-21
Backstreets,1975-01-01,1975-09-21
Thunder Road,1975-01-01,1975-09-21
Kitty’s Back,1973-01-01,1975-09-21
Jungleland,1975-01-01,1975-09-21
Rosalita (Come Out Tonight),1973-01-01,1975-09-21
Incident on 57th Street,1973-01-01,1975-09-20
Tenth Avenue Freeze‐Out,1975-01-01,1975-09-20
Spirit in the Night,1973-01-01,1975-09-20
It’s Hard to Be a Saint in the City,1973-01-01,1975-09-20
Thunder Road,1975-01-01,1975-09-20
Kitty’s Back,1973-01-01,1975-09-20
She’s the One,1975-01-01,1975-09-20
Born to Run,1975-01-01,1975-09-20
Rosalita (Come Out Tonight),1973-01-01,1975-09-20
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-09-20
Incident on 57th Street,1973-01-01,1975-09-16
Tenth Avenue Freeze‐Out,1975-01-01,1975-09-16
Spirit in the Night,1973-01-01,1975-09-16
Growin’ Up,1973-01-01,1975-09-16
It’s Hard to Be a Saint in the City,1973-01-01,1975-09-16
She’s the One,1975-01-01,1975-09-16
Born to Run,1975-01-01,1975-09-16
Thunder Road,1975-01-01,1975-09-16
Jungleland,1975-01-01,1975-09-16
Rosalita (Come Out Tonight),1973-01-01,1975-09-16
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-09-16
Incident on 57th Street,1973-01-01,1975-09-14
Spirit in the Night,1973-01-01,1975-09-14
Growin’ Up,1973-01-01,1975-09-14
It’s Hard to Be a Saint in the City,1973-01-01,1975-09-14
Tenth Avenue Freeze‐Out,1975-01-01,1975-09-14
She’s the One,1975-01-01,1975-09-14
Born to Run,1975-01-01,1975-09-14
Thunder Road,1975-01-01,1975-09-14
Kitty’s Back,1973-01-01,1975-09-14
Jungleland,1975-01-01,1975-09-14
Rosalita (Come Out Tonight),1973-01-01,1975-09-14
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-09-14
Incident on 57th Street,1973-01-01,1975-09-13
Tenth Avenue Freeze‐Out,1975-01-01,1975-09-13
Spirit in the Night,1973-01-01,1975-09-13
Growin’ Up,1973-01-01,1975-09-13
It’s Hard to Be a Saint in the City,1973-01-01,1975-09-13
She’s the One,1975-01-01,1975-09-13
Born to Run,1975-01-01,1975-09-13
Thunder Road,1975-01-01,1975-09-13
Jungleland,1975-01-01,1975-09-13
Rosalita (Come Out Tonight),1973-01-01,1975-09-13
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-09-13
Incident on 57th Street,1973-01-01,1975-09-12
Tenth Avenue Freeze‐Out,1975-01-01,1975-09-12
Spirit in the Night,1973-01-01,1975-09-12
Growin’ Up,1973-01-01,1975-09-12
It’s Hard to Be a Saint in the City,1973-01-01,1975-09-12
She’s the One,1975-01-01,1975-09-12
Born to Run,1975-01-01,1975-09-12
Thunder Road,1975-01-01,1975-09-12
Kitty’s Back,1973-01-01,1975-09-12
Jungleland,1975-01-01,1975-09-12
Rosalita (Come Out Tonight),1973-01-01,1975-09-12
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-09-12
Incident on 57th Street,1973-01-01,1975-09-06
Tenth Avenue Freeze‐Out,1975-01-01,1975-09-06
Spirit in the Night,1973-01-01,1975-09-06
Growin’ Up,1973-01-01,1975-09-06
It’s Hard to Be a Saint in the City,1973-01-01,1975-09-06
The E Street Shuffle,1973-01-01,1975-09-06
She’s the One,1975-01-01,1975-09-06
Born to Run,1975-01-01,1975-09-06
Thunder Road,1975-01-01,1975-09-06
Kitty’s Back,1973-01-01,1975-09-06
Jungleland,1975-01-01,1975-09-06
Rosalita (Come Out Tonight),1973-01-01,1975-09-06
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-09-06
Born to Run,1975-01-01,1975-09-04
Spirit in the Night,1973-01-01,1975-08-23
Does This Bus Stop at 82nd Street?,1973-01-01,1975-08-23
Growin’ Up,1973-01-01,1975-08-23
It’s Hard to Be a Saint in the City,1973-01-01,1975-08-23
She’s the One,1975-01-01,1975-08-23
Born to Run,1975-01-01,1975-08-23
For You,1973-01-01,1975-08-23
Kitty’s Back,1973-01-01,1975-08-23
Rosalita (Come Out Tonight),1973-01-01,1975-08-23
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-08-23
Spirit in the Night,1973-01-01,1975-08-21
Growin’ Up,1973-01-01,1975-08-21
Tenth Avenue Freeze‐Out,1975-01-01,1975-08-17
Spirit in the Night,1973-01-01,1975-08-17
Growin’ Up,1973-01-01,1975-08-17
It’s Hard to Be a Saint in the City,1973-01-01,1975-08-17
She’s the One,1975-01-01,1975-08-17
Born to Run,1975-01-01,1975-08-17
Thunder Road,1975-01-01,1975-08-17
For You,1973-01-01,1975-08-17
Kitty’s Back,1973-01-01,1975-08-17
Rosalita (Come Out Tonight),1973-01-01,1975-08-17
Tenth Avenue Freeze‐Out,1975-01-01,1975-08-17
Spirit in the Night,1973-01-01,1975-08-17
Growin’ Up,1973-01-01,1975-08-17
It’s Hard to Be a Saint in the City,1973-01-01,1975-08-17
Born to Run,1975-01-01,1975-08-17
Thunder Road,1975-01-01,1975-08-17
She’s the One,1975-01-01,1975-08-17
Kitty’s Back,1973-01-01,1975-08-17
Jungleland,1975-01-01,1975-08-17
Rosalita (Come Out Tonight),1973-01-01,1975-08-17
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-08-17
Jungleland,1975-01-01,1975-08-16
Tenth Avenue Freeze‐Out,1975-01-01,1975-08-16
Spirit in the Night,1973-01-01,1975-08-16
Growin’ Up,1973-01-01,1975-08-16
It’s Hard to Be a Saint in the City,1973-01-01,1975-08-16
The E Street Shuffle,1973-01-01,1975-08-16
She’s the One,1975-01-01,1975-08-16
Born to Run,1975-01-01,1975-08-16
Thunder Road,1975-01-01,1975-08-16
Kitty’s Back,1973-01-01,1975-08-16
Rosalita (Come Out Tonight),1973-01-01,1975-08-16
Tenth Avenue Freeze‐Out,1975-01-01,1975-08-15
Spirit in the Night,1973-01-01,1975-08-15
Growin’ Up,1973-01-01,1975-08-15
It’s Hard to Be a Saint in the City,1973-01-01,1975-08-15
For You,1973-01-01,1975-08-15
Thunder Road,1975-01-01,1975-08-15
Born to Run,1975-01-01,1975-08-15
Backstreets,1975-01-01,1975-08-15
Kitty’s Back,1973-01-01,1975-08-15
She’s the One,1975-01-01,1975-08-15
New York City Serenade,1973-01-01,1975-08-15
Rosalita (Come Out Tonight),1973-01-01,1975-08-15
Tenth Avenue Freeze‐Out,1975-01-01,1975-08-15
Spirit in the Night,1973-01-01,1975-08-15
Growin’ Up,1973-01-01,1975-08-15
It’s Hard to Be a Saint in the City,1973-01-01,1975-08-15
She’s the One,1975-01-01,1975-08-15
Born to Run,1975-01-01,1975-08-15
Thunder Road,1975-01-01,1975-08-15
Kitty’s Back,1973-01-01,1975-08-15
Rosalita (Come Out Tonight),1973-01-01,1975-08-15
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-08-15
Tenth Avenue Freeze‐Out,1975-01-01,1975-08-14
Spirit in the Night,1973-01-01,1975-08-14
Growin’ Up,1973-01-01,1975-08-14
It’s Hard to Be a Saint in the City,1973-01-01,1975-08-14
Night,1975-01-01,1975-08-14
She’s the One,1975-01-01,1975-08-14
Born to Run,1975-01-01,1975-08-14
Thunder Road,1975-01-01,1975-08-14
Rosalita (Come Out Tonight),1973-01-01,1975-08-14
Tenth Avenue Freeze‐Out,1975-01-01,1975-08-13
Kitty’s Back,1973-01-01,1975-08-13
Thunder Road,1975-01-01,1975-08-13
Born to Run,1975-01-01,1975-08-13
She’s the One,1975-01-01,1975-08-13
Backstreets,1975-01-01,1975-08-13
Jungleland,1975-01-01,1975-08-13
Rosalita (Come Out Tonight),1973-01-01,1975-08-13
It’s Hard to Be a Saint in the City,1973-01-01,1975-08-13
For You,1973-01-01,1975-08-13
Tenth Avenue Freeze‐Out,1975-01-01,1975-08-13
Spirit in the Night,1973-01-01,1975-08-13
Growin’ Up,1973-01-01,1975-08-13
It’s Hard to Be a Saint in the City,1973-01-01,1975-08-13
Night,1975-01-01,1975-08-13
The E Street Shuffle,1973-01-01,1975-08-13
Thunder Road,1975-01-01,1975-08-13
Born to Run,1975-01-01,1975-08-13
She’s the One,1975-01-01,1975-08-13
New York City Serenade,1973-01-01,1975-08-13
Rosalita (Come Out Tonight),1973-01-01,1975-08-13
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-08-13
Incident on 57th Street,1973-01-01,1975-08-10
Tenth Avenue Freeze‐Out,1975-01-01,1975-08-10
Spirit in the Night,1973-01-01,1975-08-10
Growin’ Up,1973-01-01,1975-08-10
It’s Hard to Be a Saint in the City,1973-01-01,1975-08-10
Born to Run,1975-01-01,1975-08-10
She’s the One,1975-01-01,1975-08-10
Kitty’s Back,1973-01-01,1975-08-10
New York City Serenade,1973-01-01,1975-08-10
Rosalita (Come Out Tonight),1973-01-01,1975-08-10
For You,1973-01-01,1975-08-10
Rosalita (Come Out Tonight),1973-01-01,1975-08-09
Born to Run,1975-01-01,1975-08-09
It’s Hard to Be a Saint in the City,1973-01-01,1975-08-09
Incident on 57th Street,1973-01-01,1975-08-08
Tenth Avenue Freeze‐Out,1975-01-01,1975-08-08
Spirit in the Night,1973-01-01,1975-08-08
Growin’ Up,1973-01-01,1975-08-08
It’s Hard to Be a Saint in the City,1973-01-01,1975-08-08
She’s the One,1975-01-01,1975-08-08
Born to Run,1975-01-01,1975-08-08
Backstreets,1975-01-01,1975-08-08
Kitty’s Back,1973-01-01,1975-08-08
New York City Serenade,1973-01-01,1975-08-08
Rosalita (Come Out Tonight),1973-01-01,1975-08-08
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-08-08
Incident on 57th Street,1973-01-01,1975-08-02
Tenth Avenue Freeze‐Out,1975-01-01,1975-08-02
Spirit in the Night,1973-01-01,1975-08-02
It’s Hard to Be a Saint in the City,1973-01-01,1975-08-02
She’s the One,1975-01-01,1975-08-02
Thunder Road,1975-01-01,1975-08-02
Born to Run,1975-01-01,1975-08-02
Kitty’s Back,1973-01-01,1975-08-02
New York City Serenade,1973-01-01,1975-08-02
Rosalita (Come Out Tonight),1973-01-01,1975-08-02
Incident on 57th Street,1973-01-01,1975-08-01
Tenth Avenue Freeze‐Out,1975-01-01,1975-08-01
Spirit in the Night,1973-01-01,1975-08-01
It’s Hard to Be a Saint in the City,1973-01-01,1975-08-01
She’s the One,1975-01-01,1975-08-01
Thunder Road,1975-01-01,1975-08-01
Growin’ Up,1973-01-01,1975-08-01
Kitty’s Back,1973-01-01,1975-08-01
New York City Serenade,1973-01-01,1975-08-01
Rosalita (Come Out Tonight),1973-01-01,1975-08-01
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-08-01
Incident on 57th Street,1973-01-01,1975-07-30
Tenth Avenue Freeze‐Out,1975-01-01,1975-07-30
Spirit in the Night,1973-01-01,1975-07-30
The E Street Shuffle,1973-01-01,1975-07-30
It’s Hard to Be a Saint in the City,1973-01-01,1975-07-30
She’s the One,1975-01-01,1975-07-30
Thunder Road,1975-01-01,1975-07-30
Born to Run,1975-01-01,1975-07-30
Kitty’s Back,1973-01-01,1975-07-30
New York City Serenade,1973-01-01,1975-07-30
Rosalita (Come Out Tonight),1973-01-01,1975-07-30
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-07-30
Incident on 57th Street,1973-01-01,1975-07-28
Tenth Avenue Freeze‐Out,1975-01-01,1975-07-28
Spirit in the Night,1973-01-01,1975-07-28
Growin’ Up,1973-01-01,1975-07-28
It’s Hard to Be a Saint in the City,1973-01-01,1975-07-28
She’s the One,1975-01-01,1975-07-28
Born to Run,1975-01-01,1975-07-28
Kitty’s Back,1973-01-01,1975-07-28
New York City Serenade,1973-01-01,1975-07-28
Rosalita (Come Out Tonight),1973-01-01,1975-07-28
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-07-28
Incident on 57th Street,1973-01-01,1975-07-26
Tenth Avenue Freeze‐Out,1975-01-01,1975-07-26
Spirit in the Night,1973-01-01,1975-07-26
Growin’ Up,1973-01-01,1975-07-26
It’s Hard to Be a Saint in the City,1973-01-01,1975-07-26
She’s the One,1975-01-01,1975-07-26
Born to Run,1975-01-01,1975-07-26
Thunder Road,1975-01-01,1975-07-26
Kitty’s Back,1973-01-01,1975-07-26
New York City Serenade,1973-01-01,1975-07-26
Rosalita (Come Out Tonight),1973-01-01,1975-07-26
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-07-26
Incident on 57th Street,1973-01-01,1975-07-25
Spirit in the Night,1973-01-01,1975-07-25
Tenth Avenue Freeze‐Out,1975-01-01,1975-07-25
Growin’ Up,1973-01-01,1975-07-25
It’s Hard to Be a Saint in the City,1973-01-01,1975-07-25
She’s the One,1975-01-01,1975-07-25
Born to Run,1975-01-01,1975-07-25
Thunder Road,1975-01-01,1975-07-25
Kitty’s Back,1973-01-01,1975-07-25
New York City Serenade,1973-01-01,1975-07-25
Rosalita (Come Out Tonight),1973-01-01,1975-07-25
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-07-25
Spirit in the Night,1973-01-01,1975-07-23
Tenth Avenue Freeze‐Out,1975-01-01,1975-07-23
Growin’ Up,1973-01-01,1975-07-23
It’s Hard to Be a Saint in the City,1973-01-01,1975-07-23
She’s the One,1975-01-01,1975-07-23
Born to Run,1975-01-01,1975-07-23
Thunder Road,1975-01-01,1975-07-23
Kitty’s Back,1973-01-01,1975-07-23
Rosalita (Come Out Tonight),1973-01-01,1975-07-23
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-07-23
Incident on 57th Street,1973-01-01,1975-07-22
Spirit in the Night,1973-01-01,1975-07-22
Tenth Avenue Freeze‐Out,1975-01-01,1975-07-22
Growin’ Up,1973-01-01,1975-07-22
It’s Hard to Be a Saint in the City,1973-01-01,1975-07-22
She’s the One,1975-01-01,1975-07-22
Born to Run,1975-01-01,1975-07-22
Kitty’s Back,1973-01-01,1975-07-22
New York City Serenade,1973-01-01,1975-07-22
Rosalita (Come Out Tonight),1973-01-01,1975-07-22
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-07-22
Incident on 57th Street,1973-01-01,1975-07-20
Spirit in the Night,1973-01-01,1975-07-20
Tenth Avenue Freeze‐Out,1975-01-01,1975-07-20
Growin’ Up,1973-01-01,1975-07-20
It’s Hard to Be a Saint in the City,1973-01-01,1975-07-20
Born to Run,1975-01-01,1975-07-20
Thunder Road,1975-01-01,1975-07-20
New York City Serenade,1973-01-01,1975-07-20
Kitty’s Back,1973-01-01,1975-07-20
Rosalita (Come Out Tonight),1973-01-01,1975-07-20
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-07-20
Incident on 57th Street,1973-01-01,1975-03-09
Spirit in the Night,1973-01-01,1975-03-09
Jungleland,1975-01-01,1975-03-09
Rosalita (Come Out Tonight),1973-01-01,1975-03-09
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-03-09
Thunder Road,1975-01-01,1975-03-09
Incident on 57th Street,1973-01-01,1975-03-08
The E Street Shuffle,1973-01-01,1975-03-08
Growin’ Up,1973-01-01,1975-03-08
She’s the One,1975-01-01,1975-03-08
Jungleland,1975-01-01,1975-03-08
Kitty’s Back,1973-01-01,1975-03-08
New York City Serenade,1973-01-01,1975-03-08
Rosalita (Come Out Tonight),1973-01-01,1975-03-08
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-03-08
For You,1973-01-01,1975-03-08
Incident on 57th Street,1973-01-01,1975-03-07
Spirit in the Night,1973-01-01,1975-03-07
Born to Run,1975-01-01,1975-03-07
She’s the One,1975-01-01,1975-03-07
Jungleland,1975-01-01,1975-03-07
Rosalita (Come Out Tonight),1973-01-01,1975-03-07
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-03-07
Incident on 57th Street,1973-01-01,1975-02-23
Spirit in the Night,1973-01-01,1975-02-23
Born to Run,1975-01-01,1975-02-23
Growin’ Up,1973-01-01,1975-02-23
It’s Hard to Be a Saint in the City,1973-01-01,1975-02-23
She’s the One,1975-01-01,1975-02-23
Jungleland,1975-01-01,1975-02-23
Kitty’s Back,1973-01-01,1975-02-23
New York City Serenade,1973-01-01,1975-02-23
Rosalita (Come Out Tonight),1973-01-01,1975-02-23
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-02-23
For You,1973-01-01,1975-02-23
Incident on 57th Street,1973-01-01,1975-02-19
Born to Run,1975-01-01,1975-02-19
Spirit in the Night,1973-01-01,1975-02-19
The E Street Shuffle,1973-01-01,1975-02-19
Thunder Road,1975-01-01,1975-02-19
She’s the One,1975-01-01,1975-02-19
Growin’ Up,1973-01-01,1975-02-19
It’s Hard to Be a Saint in the City,1973-01-01,1975-02-19
Jungleland,1975-01-01,1975-02-19
Kitty’s Back,1973-01-01,1975-02-19
New York City Serenade,1973-01-01,1975-02-19
Rosalita (Come Out Tonight),1973-01-01,1975-02-19
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-02-19
For You,1973-01-01,1975-02-19
Incident on 57th Street,1973-01-01,1975-02-18
Growin’ Up,1973-01-01,1975-02-18
Thunder Road,1975-01-01,1975-02-18
Born to Run,1975-01-01,1975-02-18
Incident on 57th Street,1973-01-01,1975-02-07
Born to Run,1975-01-01,1975-02-07
Spirit in the Night,1973-01-01,1975-02-07
Thunder Road,1975-01-01,1975-02-07
Kitty’s Back,1973-01-01,1975-02-07
New York City Serenade,1973-01-01,1975-02-07
Rosalita (Come Out Tonight),1973-01-01,1975-02-07
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-02-07
For You,1973-01-01,1975-02-07
Incident on 57th Street,1973-01-01,1975-02-06
Born to Run,1975-01-01,1975-02-06
Spirit in the Night,1973-01-01,1975-02-06
Thunder Road,1975-01-01,1975-02-06
Growin’ Up,1973-01-01,1975-02-06
It’s Hard to Be a Saint in the City,1973-01-01,1975-02-06
Jungleland,1975-01-01,1975-02-06
Kitty’s Back,1973-01-01,1975-02-06
New York City Serenade,1973-01-01,1975-02-06
Rosalita (Come Out Tonight),1973-01-01,1975-02-06
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-02-06
For You,1973-01-01,1975-02-06
Incident on 57th Street,1973-01-01,1975-02-05
Born to Run,1975-01-01,1975-02-05
Thunder Road,1975-01-01,1975-02-05
Spirit in the Night,1973-01-01,1975-02-05
She’s the One,1975-01-01,1975-02-05
Growin’ Up,1973-01-01,1975-02-05
It’s Hard to Be a Saint in the City,1973-01-01,1975-02-05
Jungleland,1975-01-01,1975-02-05
Kitty’s Back,1973-01-01,1975-02-05
New York City Serenade,1973-01-01,1975-02-05
Rosalita (Come Out Tonight),1973-01-01,1975-02-05
"4th of July, Asbury Park (Sandy)",1973-01-01,1975-02-05
For You,1973-01-01,1975-02-05
Incident on 57th Street,1973-01-01,1974-12-08
Spirit in the Night,1973-01-01,1974-12-08
Does This Bus Stop at 82nd Street?,1973-01-01,1974-12-08
Growin’ Up,1973-01-01,1974-12-08
It’s Hard to Be a Saint in the City,1973-01-01,1974-12-08
Jungleland,1975-01-01,1974-12-08
Kitty’s Back,1973-01-01,1974-12-08
New York City Serenade,1973-01-01,1974-12-08
Rosalita (Come Out Tonight),1973-01-01,1974-12-08
"4th of July, Asbury Park (Sandy)",1973-01-01,1974-12-08
Incident on 57th Street,1973-01-01,1974-12-07
Spirit in the Night,1973-01-01,1974-12-07
Does This Bus Stop at 82nd Street?,1973-01-01,1974-12-07
Growin’ Up,1973-01-01,1974-12-07
It’s Hard to Be a Saint in the City,1973-01-01,1974-12-07
Jungleland,1975-01-01,1974-12-07
Kitty’s Back,1973-01-01,1974-12-07
New York City Serenade,1973-01-01,1974-12-07
Rosalita (Come Out Tonight),1973-01-01,1974-12-07
"4th of July, Asbury Park (Sandy)",1973-01-01,1974-12-07
Incident on 57th Street,1973-01-01,1974-12-06
Spirit in the Night,1973-01-01,1974-12-06
Does This Bus Stop at 82nd Street?,1973-01-01,1974-12-06
Growin’ Up,1973-01-01,1974-12-06
It’s Hard to Be a Saint in the City,1973-01-01,1974-12-06
Jungleland,1975-01-01,1974-12-06
Kitty’s Back,1973-01-01,1974-12-06
New York City Serenade,1973-01-01,1974-12-06
Rosalita (Come Out Tonight),1973-01-01,1974-12-06
"4th of July, Asbury Park (Sandy)",1973-01-01,1974-12-06
Incident on 57th Street,1973-01-01,1974-11-30
Spirit in the Night,1973-01-01,1974-11-30
Does This Bus Stop at 82nd Street?,1973-01-01,1974-11-30
Growin’ Up,1973-01-01,1974-11-30
It’s Hard to Be a Saint in the City,1973-01-01,1974-11-30
The E Street Shuffle,1973-01-01,1974-11-30
