pct_played_prior,catalog_size_at_play_date,interaction_pct_x_catalog,pct_played_recent_180,played,play_date_iso,song_title
85.66,34,2912.4400,97.62,1,1979-01-01,Jungleland
61.81,124,7664.4400,43.28,1,1999-11-10,Darkness on the Edge of Town
75.33,190,14312.7000,98.41,1,2009-09-13,Born to Run
2.03,124,251.7200,10.94,1,1999-09-21,Meeting Across the River
29.13,164,4777.3200,70.00,1,2006-12-02,Atlantic City
41.85,233,9751.0500,26.09,1,2014-03-02,Darkness on the Edge of Town
0.00,176,0.0000,0.00,0,2008-05-23,Froggie Went a Courtin’
7.51,124,931.2400,0.00,0,1999-05-21,Stolen Car
29.77,124,3691.4800,23.44,1,1999-10-21,Ramrod
89.39,88,7866.3200,96.72,1,1988-07-17,Spare Parts
82.46,34,2803.6400,82.46,1,1978-08-29,Darkness on the Edge of Town
68.61,139,9536.7900,69.77,1,2002-11-16,The Promised Land
75.89,190,14419.1000,100.00,1,2009-01-18,The Rising
96.68,76,7347.6800,97.40,1,1984-12-11,Born to Run
60.26,76,4579.7600,6.67,0,1985-01-19,Ramrod
20.68,124,2564.3200,35.29,1,1999-04-17,She’s the One
79.62,88,7006.5600,0.00,0,1988-07-12,Out in the Street
56.36,176,9919.3600,84.62,1,2007-11-14,Lonesome Day
23.46,124,2909.0400,92.86,1,1996-01-23,Adam Raised a Cain
39.02,139,5423.7800,37.50,0,2002-08-20,Two Hearts
45.95,16,735.2000,50.00,1,1973-07-23,Spirit in the Night
63.30,124,7849.2000,21.43,1,1999-04-11,Darkness on the Edge of Town
98.51,54,5319.5400,98.39,1,1981-08-27,Cadillac Ranch
41.45,233,9657.8500,43.48,1,2014-04-12,Hungry Heart
17.68,124,2192.3200,0.00,0,1999-05-23,Candy’s Room
63.64,139,8845.9600,63.64,1,2002-08-10,Worlds Apart
27.12,16,433.9200,45.16,1,1974-10-26,"4th of July, Asbury Park (Sandy)"
12.90,176,2270.4000,2.22,1,2008-07-04,Independence Day
4.05,176,712.8000,0.00,0,2007-10-29,Nothing Man
30.03,222,6666.6600,18.87,0,2012-07-22,Youngstown
0.00,88,0.0000,0.00,0,1988-06-25,When You’re Alone
72.49,24,1739.7600,80.85,0,1976-04-21,Spirit in the Night
51.56,88,4537.2800,35.71,1,1988-05-22,Tenth Avenue Freeze‐Out
81.82,139,11372.9800,87.10,1,2002-10-14,You’re Missing
41.71,164,6840.4400,9.52,0,2006-11-17,The Ghost of Tom Joad
24.49,222,5436.7800,32.14,1,2013-06-20,She’s the One
83.12,24,1994.8800,91.43,1,1977-02-26,Tenth Avenue Freeze‐Out
20.86,139,2899.5400,27.27,1,2003-05-27,She’s the One
50.00,124,6200.0000,0.00,0,1996-05-07,Out in the Street
0.26,176,45.7600,0.00,0,2008-02-28,Cross My Heart
78.70,24,1888.8000,95.74,1,1976-05-27,Jungleland
30.09,222,6679.9800,0.00,0,2013-03-31,Livin’ in the Future
1.27,222,281.9400,0.00,0,2012-01-14,Real Man
92.22,112,10328.6400,62.50,1,1992-06-25,Born in the U.S.A.
31.00,139,4309.0000,0.00,0,2003-06-12,Dry Lightning
35.48,151,5357.4800,37.29,1,2005-10-20,All I’m Thinkin’ About
93.82,76,7130.3200,100.00,1,1985-06-08,Thunder Road
20.52,124,2544.4800,0.00,0,2000-05-04,Local Hero
7.28,112,815.3600,0.00,0,1992-11-10,I Wanna Marry You
26.62,124,3300.8800,0.00,0,1997-05-22,My Best Was Never Good Enough
3.72,124,461.2800,8.70,0,1996-10-01,Blinded by the Light
75.81,124,9400.4400,0.00,0,1996-10-17,Thunder Road
93.55,112,10477.6000,93.55,1,1992-08-14,Local Hero
1.70,222,377.4000,0.00,0,2013-05-11,I Wish I Were Blind
11.89,139,1652.7100,19.51,1,2002-11-12,Night
2.42,151,365.4200,6.38,0,2005-08-01,I Wish I Were Blind
74.07,124,9184.6800,86.96,1,1996-01-11,Sinaloa Cowboys
75.00,76,5700.0000,74.68,1,1984-12-14,My Hometown
53.49,139,7435.1100,61.54,1,2002-08-14,Glory Days
43.91,124,5444.8400,100.00,1,2000-05-21,Tenth Avenue Freeze‐Out
97.03,76,7374.2800,100.00,1,1985-08-19,Born to Run
20.54,222,4559.8800,0.00,0,2013-03-16,Magic
12.48,176,2196.4800,0.00,0,2008-04-08,Factory
2.60,222,577.2000,0.00,0,2012-05-30,Drive All Night
25.15,151,3797.6500,2.78,0,2005-06-30,Dry Lightning
3.46,176,608.9600,0.00,0,2008-05-07,Nothing Man
12.45,222,2763.9000,0.00,0,2012-04-03,Spare Parts
5.09,139,707.5100,0.00,0,2002-10-22,Walk Like a Man
15.02,151,2268.0200,0.00,0,2005-10-12,Candy’s Room
9.11,176,1603.3600,0.00,0,2008-06-14,The Fuse
11.49,233,2677.1700,0.00,0,2016-04-05,Jacob’s Ladder
12.68,176,2231.6800,0.00,0,2008-04-30,Mansion on the Hill
84.03,190,15965.7000,70.37,1,2009-05-14,Radio Nowhere
6.64,190,1261.6000,1.72,0,2009-11-17,I’m a Rocker
43.20,24,1036.8000,92.59,1,1975-09-23,It’s Hard to Be a Saint in the City
0.72,222,159.8400,0.00,0,2013-05-26,The Brokenhearted
15.24,233,3550.9200,0.00,0,2014-05-14,Worlds Apart
43.18,76,3281.6800,43.18,1,1984-09-17,Johnny 99
95.35,112,10679.2000,95.35,1,1992-09-24,Man’s Job
64.41,24,1545.8400,62.00,1,1975-11-23,Jungleland
9.33,176,1642.0800,23.33,1,2007-11-25,Tunnel of Love
66.44,124,8238.5600,0.00,0,1996-02-12,Human Touch
19.08,124,2365.9200,0.00,0,1999-05-01,Real World
26.85,151,4054.3500,0.00,0,2005-05-14,Highway 29
15.26,190,2899.4000,0.00,0,2009-01-18,Lucky Town
96.76,54,5225.0400,100.00,1,1981-05-29,The Promised Land
60.28,88,5304.6400,0.00,0,1987-10-31,Racing in the Street
55.10,54,2975.4000,66.67,1,1981-04-18,Candy’s Room
1.33,139,184.8700,0.00,0,2002-10-27,All or Nothin’ at All
14.99,190,2848.1000,1.89,0,2009-07-23,"4th of July, Asbury Park (Sandy)"
3.89,164,637.9600,0.00,0,2006-10-01,Blinded by the Light
51.08,124,6333.9200,100.00,1,2000-04-30,Out in the Street
25.56,222,5674.3200,0.00,1,2012-07-12,Empty Sky
30.48,16,487.6800,48.78,1,1974-08-14,Kitty’s Back
50.00,16,800.0000,50.00,1,1973-02-03,Mary Queen of Arkansas
31.10,76,2363.6000,10.71,0,1985-04-23,I’m a Rocker
34.71,222,7705.6200,0.00,0,2012-02-27,Jungleland
0.00,176,0.0000,0.00,0,2008-08-30,Eyes on the Prize
39.78,233,9268.7400,33.33,1,2014-04-15,The River
25.28,176,4449.2800,4.76,0,2007-11-05,Racing in the Street
11.65,222,2586.3000,0.00,0,2012-04-04,Independence Day
5.05,190,959.5000,0.00,0,2009-10-19,Ain’t Got You
60.06,211,12672.6600,50.00,1,2011-11-03,Thunder Road
35.15,124,4358.6000,33.33,0,1998-03-02,Backstreets
19.69,88,1732.7200,0.00,0,1988-06-11,For You
13.08,139,1818.1200,3.45,0,2003-09-06,For You
0.50,151,75.5000,0.00,0,2005-06-07,Pony Boy
86.52,124,10728.4800,97.22,1,1997-05-26,The Ghost of Tom Joad
4.34,139,603.2600,0.00,0,2003-07-15,Used Cars
26.09,16,417.4400,22.73,1,1973-10-30,Blinded by the Light
20.26,233,4720.5800,0.00,0,2014-01-18,Gypsy Biker
7.98,190,1516.2000,0.00,0,2009-09-20,Wreck on the Highway
3.48,176,612.4800,0.00,0,2008-06-23,Used Cars
19.29,222,4282.3800,0.00,0,2012-05-13,Brilliant Disguise
43.87,190,8335.3000,0.00,0,2009-06-09,Girls in Their Summer Clothes
40.21,54,2171.3400,4.84,0,1981-09-08,"4th of July, Asbury Park (Sandy)"
79.17,124,9817.0800,88.37,1,1996-02-28,Highway 29
34.17,190,6492.3000,0.00,0,2009-04-28,Empty Sky
9.52,76,723.5200,5.45,0,1985-04-10,State Trooper
4.08,176,718.0800,0.00,0,2007-10-09,I Wanna Marry You
53.78,139,7475.4200,63.16,1,2002-08-25,Prove It All Night
39.38,222,8742.3600,85.19,1,2013-04-30,Tenth Avenue Freeze‐Out
13.74,124,1703.7600,43.33,1,1999-05-27,Mansion on the Hill
4.12,176,725.1200,0.00,0,2007-10-29,I’m Goin’ Down
95.31,76,7243.5600,95.31,1,1984-11-12,Bobby Jean
39.68,176,6983.6800,51.28,1,2008-06-18,Dancing in the Dark
37.50,76,2850.0000,37.50,0,1984-08-25,Open All Night
12.29,222,2728.3800,0.00,0,2013-06-22,Erie Canal
14.01,222,3110.2200,0.00,0,2012-06-19,The Hitter
95.35,24,2288.4000,100.00,1,1976-04-07,Born to Run
66.44,211,14018.8400,77.50,0,2010-01-22,Badlands
26.82,222,5954.0400,18.18,0,2013-03-31,Johnny 99
84.42,76,6415.9200,90.41,1,1984-11-30,Jungleland
88.61,124,10987.6400,100.00,1,1996-09-26,Sinaloa Cowboys
54.48,222,12094.5600,8.51,0,2012-07-09,Radio Nowhere
4.89,222,1085.5800,8.33,0,2012-04-17,Jackson Cage
7.98,54,430.9200,0.00,0,1980-11-14,Lost in the Flood
31.29,139,4349.3100,0.00,0,2003-08-28,Sinaloa Cowboys
25.35,124,3143.4000,5.00,1,1999-08-31,Adam Raised a Cain
3.36,112,376.3200,0.00,0,1992-11-15,State Trooper
77.78,88,6844.6400,93.33,1,1988-03-23,Brilliant Disguise
10.94,176,1925.4400,0.00,0,2007-10-22,Local Hero
89.16,76,6776.1600,79.17,1,1984-08-08,Sherry Darling
26.65,124,3304.6000,4.76,1,1999-07-18,Sherry Darling
25.46,176,4480.9600,26.67,1,2008-07-04,Spirit in the Night
4.95,124,613.8000,0.00,0,1996-12-11,Crush on You
8.04,233,1873.3200,86.96,1,2016-03-13,Wreck on the Highway
24.24,124,3005.7600,0.00,0,1998-12-14,Darlington County
73.98,24,1775.5200,87.50,1,1976-10-30,Spirit in the Night
8.37,112,937.4400,0.00,0,1993-04-16,Streets of Fire
10.00,211,2110.0000,20.00,0,2010-11-05,Fire
4.41,190,837.9000,11.67,1,2009-08-23,I’m Goin’ Down
39.33,24,943.9200,94.12,0,1975-08-02,"4th of July, Asbury Park (Sandy)"
14.02,222,3112.4400,0.00,0,2013-06-29,Sinaloa Cowboys
38.96,233,9077.6800,77.78,1,2016-04-18,Because the Night
74.09,176,13039.8400,95.45,1,2008-05-28,Born to Run
59.47,211,12548.1700,0.00,0,2011-11-09,Lonesome Day
