song_title,album_release_date_iso,play_date_iso,years_since_release
Hungry Heart,1980-01-01,2025-05-24,45.39
The River,1980-01-01,2025-05-24,45.39
Youngstown,1995-01-01,2025-05-24,30.39
Long Walk Home,2007-01-01,2025-05-24,18.39
House of a Thousand Guitars,2020-10-23,2025-05-24,4.58
My City of Ruins,2002-01-01,2025-05-24,23.39
Because the Night,2010-01-01,2025-05-24,15.39
Wrecking Ball,2012-01-01,2025-05-24,13.39
The Rising,2002-01-01,2025-05-24,23.39
Badlands,1978-01-01,2025-05-24,47.39
Thunder Road,1975-01-01,2025-05-24,50.39
Born in the U.S.A.,1984-01-01,2025-05-24,41.39
Born to Run,1975-01-01,2025-05-24,50.39
Bobby Jean,1984-01-01,2025-05-24,41.39
Dancing in the Dark,1984-01-01,2025-05-24,41.39
Tenth Avenue Freeze‐Out,1975-01-01,2025-05-24,50.39
No Surrender,1984-01-01,2025-05-20,41.38
Land of Hope and Dreams,2012-01-01,2025-05-20,13.38
Death to My Hometown,2012-01-01,2025-05-20,13.38
Something in the Night,1978-01-01,2025-05-20,47.38
Rainmaker,2020-10-23,2025-05-20,4.57
The Promised Land,1978-01-01,2025-05-20,47.38
Reason to Believe,1982-01-01,2025-05-20,43.38
The River,1980-01-01,2025-05-20,45.38
Youngstown,1995-01-01,2025-05-20,30.38
Long Walk Home,2007-01-01,2025-05-20,18.38
House of a Thousand Guitars,2020-10-23,2025-05-20,4.57
My City of Ruins,2002-01-01,2025-05-20,23.38
Because the Night,2010-01-01,2025-05-20,15.38
Ghosts,2020-10-23,2025-05-20,4.57
Wrecking Ball,2012-01-01,2025-05-20,13.38
The Rising,2002-01-01,2025-05-20,23.38
Badlands,1978-01-01,2025-05-20,47.38
Thunder Road,1975-01-01,2025-05-20,50.38
Born in the U.S.A.,1984-01-01,2025-05-20,41.38
Born to Run,1975-01-01,2025-05-20,50.38
Glory Days,1984-01-01,2025-05-20,41.38
Dancing in the Dark,1984-01-01,2025-05-20,41.38
Tenth Avenue Freeze‐Out,1975-01-01,2025-05-20,50.38
Land of Hope and Dreams,2012-01-01,2025-05-17,13.37
Death to My Hometown,2012-01-01,2025-05-17,13.37
Lonesome Day,2002-01-01,2025-05-17,23.37
Out in the Street,1980-01-01,2025-05-17,45.38
Rainmaker,2020-10-23,2025-05-17,4.56
Atlantic City,1982-01-01,2025-05-17,43.37
The Promised Land,1978-01-01,2025-05-17,47.37
Hungry Heart,1980-01-01,2025-05-17,45.38
The River,1980-01-01,2025-05-17,45.38
Youngstown,1995-01-01,2025-05-17,30.37
Long Walk Home,2007-01-01,2025-05-17,18.37
