song_title,album_release_date_iso,play_date_iso,years_since_release
I’m on Fire,1984-01-01,1985-01-13,1.03
Bobby Jean,1984-01-01,1985-01-13,1.03
Racing in the Street,1978-01-01,1985-01-13,7.03
Born to Run,1975-01-01,1985-01-13,10.03
Born in the U.S.A.,1984-01-01,1985-01-10,1.03
Out in the Street,1980-01-01,1985-01-10,5.03
Darlington County,1984-01-01,1985-01-10,1.03
Johnny 99,1982-01-01,1985-01-10,3.03
Atlantic City,1982-01-01,1985-01-10,3.03
Reason to Believe,1982-01-01,1985-01-10,3.03
Glory Days,1984-01-01,1985-01-10,1.03
The Promised Land,1978-01-01,1985-01-10,7.03
My Hometown,1984-01-01,1985-01-10,1.03
Badlands,1978-01-01,1985-01-10,7.03
Thunder Road,1975-01-01,1985-01-10,10.03
Cover Me,1984-01-01,1985-01-10,1.03
Dancing in the Dark,1984-01-01,1985-01-10,1.03
Hungry Heart,1980-01-01,1985-01-10,5.03
Cadillac Ranch,1980-01-01,1985-01-10,5.03
Downbound Train,1984-01-01,1985-01-10,1.03
I’m on Fire,1984-01-01,1985-01-10,1.03
Bobby Jean,1984-01-01,1985-01-10,1.03
Racing in the Street,1978-01-01,1985-01-10,7.03
Born to Run,1975-01-01,1985-01-10,10.03
Born in the U.S.A.,1984-01-01,1985-01-08,1.02
Prove It All Night,1978-01-01,1985-01-08,7.02
Darlington County,1984-01-01,1985-01-08,1.02
Johnny 99,1982-01-01,1985-01-08,3.02
Darkness on the Edge of Town,1978-01-01,1985-01-08,7.02
Reason to Believe,1982-01-01,1985-01-08,3.02
Out in the Street,1980-01-01,1985-01-08,5.02
Glory Days,1984-01-01,1985-01-08,1.02
The Promised Land,1978-01-01,1985-01-08,7.02
My Hometown,1984-01-01,1985-01-08,1.02
Badlands,1978-01-01,1985-01-08,7.02
Thunder Road,1975-01-01,1985-01-08,10.02
Cover Me,1984-01-01,1985-01-08,1.02
Dancing in the Dark,1984-01-01,1985-01-08,1.02
Hungry Heart,1980-01-01,1985-01-08,5.02
Cadillac Ranch,1980-01-01,1985-01-08,5.02
I’m on Fire,1984-01-01,1985-01-08,1.02
Growin’ Up,1973-01-01,1985-01-08,12.02
Bobby Jean,1984-01-01,1985-01-08,1.02
Racing in the Street,1978-01-01,1985-01-08,7.02
Born to Run,1975-01-01,1985-01-08,10.02
Born in the U.S.A.,1984-01-01,1985-01-07,1.02
Out in the Street,1980-01-01,1985-01-07,5.02
Darlington County,1984-01-01,1985-01-07,1.02
Johnny 99,1982-01-01,1985-01-07,3.02
Atlantic City,1982-01-01,1985-01-07,3.02
Reason to Believe,1982-01-01,1985-01-07,3.02
Highway Patrolman,1982-01-01,1985-01-07,3.02
Prove It All Night,1978-01-01,1985-01-07,7.02
Glory Days,1984-01-01,1985-01-07,1.02
The Promised Land,1978-01-01,1985-01-07,7.02
My Hometown,1984-01-01,1985-01-07,1.02
Badlands,1978-01-01,1985-01-07,7.02
Thunder Road,1975-01-01,1985-01-07,10.02
Cover Me,1984-01-01,1985-01-07,1.02
Dancing in the Dark,1984-01-01,1985-01-07,1.02
Hungry Heart,1980-01-01,1985-01-07,5.02
Cadillac Ranch,1980-01-01,1985-01-07,5.02
Downbound Train,1984-01-01,1985-01-07,1.02
I’m on Fire,1984-01-01,1985-01-07,1.02
Bobby Jean,1984-01-01,1985-01-07,1.02
Racing in the Street,1978-01-01,1985-01-07,7.02
Born to Run,1975-01-01,1985-01-07,10.02
Born in the U.S.A.,1984-01-01,1985-01-05,1.01
Out in the Street,1980-01-01,1985-01-05,5.01
Darlington County,1984-01-01,1985-01-05,1.01
Johnny 99,1982-01-01,1985-01-05,3.01
Darkness on the Edge of Town,1978-01-01,1985-01-05,7.01
Reason to Believe,1982-01-01,1985-01-05,3.01
Highway Patrolman,1982-01-01,1985-01-05,3.01
Prove It All Night,1978-01-01,1985-01-05,7.01
Glory Days,1984-01-01,1985-01-05,1.01
The Promised Land,1978-01-01,1985-01-05,7.01
My Hometown,1984-01-01,1985-01-05,1.01
Badlands,1978-01-01,1985-01-05,7.01
Thunder Road,1975-01-01,1985-01-05,10.01
Cover Me,1984-01-01,1985-01-05,1.01
Dancing in the Dark,1984-01-01,1985-01-05,1.01
Hungry Heart,1980-01-01,1985-01-05,5.01
Cadillac Ranch,1980-01-01,1985-01-05,5.01
Because the Night,2010-01-01,1985-01-05,-24.99
I’m on Fire,1984-01-01,1985-01-05,1.01
Growin’ Up,1973-01-01,1985-01-05,12.01
Bobby Jean,1984-01-01,1985-01-05,1.01
Racing in the Street,1978-01-01,1985-01-05,7.01
Born to Run,1975-01-01,1985-01-05,10.01
Born in the U.S.A.,1984-01-01,1985-01-04,1.01
Prove It All Night,1978-01-01,1985-01-04,7.01
Darlington County,1984-01-01,1985-01-04,1.01
Johnny 99,1982-01-01,1985-01-04,3.01
Atlantic City,1982-01-01,1985-01-04,3.01
Reason to Believe,1982-01-01,1985-01-04,3.01
Mansion on the Hill,1982-01-01,1985-01-04,3.01
Out in the Street,1980-01-01,1985-01-04,5.01
Glory Days,1984-01-01,1985-01-04,1.01
The Promised Land,1978-01-01,1985-01-04,7.01
My Hometown,1984-01-01,1985-01-04,1.01
Badlands,1978-01-01,1985-01-04,7.01
Thunder Road,1975-01-01,1985-01-04,10.01
Cover Me,1984-01-01,1985-01-04,1.01
Dancing in the Dark,1984-01-01,1985-01-04,1.01
Hungry Heart,1980-01-01,1985-01-04,5.01
Cadillac Ranch,1980-01-01,1985-01-04,5.01
Downbound Train,1984-01-01,1985-01-04,1.01
I’m on Fire,1984-01-01,1985-01-04,1.01
Bobby Jean,1984-01-01,1985-01-04,1.01
Racing in the Street,1978-01-01,1985-01-04,7.01
Born to Run,1975-01-01,1985-01-04,10.01
Born in the U.S.A.,1984-01-01,1984-12-17,0.96
Badlands,1978-01-01,1984-12-17,6.96
Darlington County,1984-01-01,1984-12-17,0.96
Johnny 99,1982-01-01,1984-12-17,2.96
Darkness on the Edge of Town,1978-01-01,1984-12-17,6.96
Reason to Believe,1982-01-01,1984-12-17,2.96
Out in the Street,1980-01-01,1984-12-17,4.96
Glory Days,1984-01-01,1984-12-17,0.96
The Promised Land,1978-01-01,1984-12-17,6.96
My Hometown,1984-01-01,1984-12-17,0.96
Prove It All Night,1978-01-01,1984-12-17,6.96
Thunder Road,1975-01-01,1984-12-17,9.96
Cover Me,1984-01-01,1984-12-17,0.96
Dancing in the Dark,1984-01-01,1984-12-17,0.96
Hungry Heart,1980-01-01,1984-12-17,4.96
Cadillac Ranch,1980-01-01,1984-12-17,4.96
Because the Night,2010-01-01,1984-12-17,-25.04
I’m on Fire,1984-01-01,1984-12-17,0.96
Growin’ Up,1973-01-01,1984-12-17,11.96
Bobby Jean,1984-01-01,1984-12-17,0.96
Racing in the Street,1978-01-01,1984-12-17,6.96
Two Hearts,1980-01-01,1984-12-17,4.96
Ramrod,1980-01-01,1984-12-17,4.96
Born to Run,1975-01-01,1984-12-17,9.96
Born in the U.S.A.,1984-01-01,1984-12-16,0.96
Out in the Street,1980-01-01,1984-12-16,4.96
Prove It All Night,1978-01-01,1984-12-16,6.96
Johnny 99,1982-01-01,1984-12-16,2.96
Atlantic City,1982-01-01,1984-12-16,2.96
Reason to Believe,1982-01-01,1984-12-16,2.96
Highway Patrolman,1982-01-01,1984-12-16,2.96
Darlington County,1984-01-01,1984-12-16,0.96
Glory Days,1984-01-01,1984-12-16,0.96
The Promised Land,1978-01-01,1984-12-16,6.96
My Hometown,1984-01-01,1984-12-16,0.96
Badlands,1978-01-01,1984-12-16,6.96
Thunder Road,1975-01-01,1984-12-16,9.96
Cover Me,1984-01-01,1984-12-16,0.96
Dancing in the Dark,1984-01-01,1984-12-16,0.96
Hungry Heart,1980-01-01,1984-12-16,4.96
Cadillac Ranch,1980-01-01,1984-12-16,4.96
Downbound Train,1984-01-01,1984-12-16,0.96
I’m on Fire,1984-01-01,1984-12-16,0.96
Bobby Jean,1984-01-01,1984-12-16,0.96
Racing in the Street,1978-01-01,1984-12-16,6.96
Two Hearts,1980-01-01,1984-12-16,4.96
Ramrod,1980-01-01,1984-12-16,4.96
Born to Run,1975-01-01,1984-12-16,9.96
Born in the U.S.A.,1984-01-01,1984-12-14,0.95
Badlands,1978-01-01,1984-12-14,6.95
Out in the Street,1980-01-01,1984-12-14,4.95
Darkness on the Edge of Town,1978-01-01,1984-12-14,6.95
Johnny 99,1982-01-01,1984-12-14,2.95
Reason to Believe,1982-01-01,1984-12-14,2.95
Mansion on the Hill,1982-01-01,1984-12-14,2.95
Prove It All Night,1978-01-01,1984-12-14,6.95
Glory Days,1984-01-01,1984-12-14,0.95
The Promised Land,1978-01-01,1984-12-14,6.95
My Hometown,1984-01-01,1984-12-14,0.95
Thunder Road,1975-01-01,1984-12-14,9.95
Cover Me,1984-01-01,1984-12-14,0.95
Dancing in the Dark,1984-01-01,1984-12-14,0.95
Hungry Heart,1980-01-01,1984-12-14,4.95
Cadillac Ranch,1980-01-01,1984-12-14,4.95
Because the Night,2010-01-01,1984-12-14,-25.05
I’m on Fire,1984-01-01,1984-12-14,0.95
Growin’ Up,1973-01-01,1984-12-14,11.95
Bobby Jean,1984-01-01,1984-12-14,0.95
Racing in the Street,1978-01-01,1984-12-14,6.95
Two Hearts,1980-01-01,1984-12-14,4.95
Born to Run,1975-01-01,1984-12-14,9.95
Born in the U.S.A.,1984-01-01,1984-12-13,0.95
Prove It All Night,1978-01-01,1984-12-13,6.95
Darlington County,1984-01-01,1984-12-13,0.95
Atlantic City,1982-01-01,1984-12-13,2.95
Johnny 99,1982-01-01,1984-12-13,2.95
Reason to Believe,1982-01-01,1984-12-13,2.95
Nebraska,1982-01-01,1984-12-13,2.95
Out in the Street,1980-01-01,1984-12-13,4.95
Glory Days,1984-01-01,1984-12-13,0.95
The Promised Land,1978-01-01,1984-12-13,6.95
My Hometown,1984-01-01,1984-12-13,0.95
Badlands,1978-01-01,1984-12-13,6.95
Thunder Road,1975-01-01,1984-12-13,9.95
Cover Me,1984-01-01,1984-12-13,0.95
Dancing in the Dark,1984-01-01,1984-12-13,0.95
Hungry Heart,1980-01-01,1984-12-13,4.95
Cadillac Ranch,1980-01-01,1984-12-13,4.95
Downbound Train,1984-01-01,1984-12-13,0.95
I’m on Fire,1984-01-01,1984-12-13,0.95
Bobby Jean,1984-01-01,1984-12-13,0.95
Racing in the Street,1978-01-01,1984-12-13,6.95
Jungleland,1975-01-01,1984-12-13,9.95
Born to Run,1975-01-01,1984-12-13,9.95
Born in the U.S.A.,1984-01-01,1984-12-11,0.94
Prove It All Night,1978-01-01,1984-12-11,6.94
Darlington County,1984-01-01,1984-12-11,0.94
Atlantic City,1982-01-01,1984-12-11,2.94
The River,1980-01-01,1984-12-11,4.94
Johnny 99,1982-01-01,1984-12-11,2.94
Reason to Believe,1982-01-01,1984-12-11,2.94
Out in the Street,1980-01-01,1984-12-11,4.94
Glory Days,1984-01-01,1984-12-11,0.94
The Promised Land,1978-01-01,1984-12-11,6.94
My Hometown,1984-01-01,1984-12-11,0.94
Badlands,1978-01-01,1984-12-11,6.94
Thunder Road,1975-01-01,1984-12-11,9.94
Cover Me,1984-01-01,1984-12-11,0.94
Dancing in the Dark,1984-01-01,1984-12-11,0.94
Hungry Heart,1980-01-01,1984-12-11,4.94
Cadillac Ranch,1980-01-01,1984-12-11,4.94
Downbound Train,1984-01-01,1984-12-11,0.94
I’m on Fire,1984-01-01,1984-12-11,0.94
Bobby Jean,1984-01-01,1984-12-11,0.94
Racing in the Street,1978-01-01,1984-12-11,6.94
Jungleland,1975-01-01,1984-12-11,9.94
Born to Run,1975-01-01,1984-12-11,9.94
Born in the U.S.A.,1984-01-01,1984-12-09,0.94
Badlands,1978-01-01,1984-12-09,6.94
Darlington County,1984-01-01,1984-12-09,0.94
Atlantic City,1982-01-01,1984-12-09,2.94
Johnny 99,1982-01-01,1984-12-09,2.94
Reason to Believe,1982-01-01,1984-12-09,2.94
Nebraska,1982-01-01,1984-12-09,2.94
Out in the Street,1980-01-01,1984-12-09,4.94
Glory Days,1984-01-01,1984-12-09,0.94
The Promised Land,1978-01-01,1984-12-09,6.94
My Hometown,1984-01-01,1984-12-09,0.94
Prove It All Night,1978-01-01,1984-12-09,6.94
Thunder Road,1975-01-01,1984-12-09,9.94
Cover Me,1984-01-01,1984-12-09,0.94
Dancing in the Dark,1984-01-01,1984-12-09,0.94
Hungry Heart,1980-01-01,1984-12-09,4.94
Cadillac Ranch,1980-01-01,1984-12-09,4.94
Because the Night,2010-01-01,1984-12-09,-25.06
I’m on Fire,1984-01-01,1984-12-09,0.94
Bobby Jean,1984-01-01,1984-12-09,0.94
Racing in the Street,1978-01-01,1984-12-09,6.94
Jungleland,1975-01-01,1984-12-09,9.94
Born to Run,1975-01-01,1984-12-09,9.94
Born in the U.S.A.,1984-01-01,1984-12-07,0.93
Badlands,1978-01-01,1984-12-07,6.93
Darlington County,1984-01-01,1984-12-07,0.93
Darkness on the Edge of Town,1978-01-01,1984-12-07,6.93
Johnny 99,1982-01-01,1984-12-07,2.93
Reason to Believe,1982-01-01,1984-12-07,2.93
Mansion on the Hill,1982-01-01,1984-12-07,2.93
Out in the Street,1980-01-01,1984-12-07,4.93
Glory Days,1984-01-01,1984-12-07,0.93
I’m Goin’ Down,1984-01-01,1984-12-07,0.93
The Promised Land,1978-01-01,1984-12-07,6.93
My Hometown,1984-01-01,1984-12-07,0.93
Prove It All Night,1978-01-01,1984-12-07,6.93
Thunder Road,1975-01-01,1984-12-07,9.93
Cover Me,1984-01-01,1984-12-07,0.93
Dancing in the Dark,1984-01-01,1984-12-07,0.93
Hungry Heart,1980-01-01,1984-12-07,4.93
Cadillac Ranch,1980-01-01,1984-12-07,4.93
Because the Night,2010-01-01,1984-12-07,-25.07
I’m on Fire,1984-01-01,1984-12-07,0.93
Bobby Jean,1984-01-01,1984-12-07,0.93
Racing in the Street,1978-01-01,1984-12-07,6.93
Jungleland,1975-01-01,1984-12-07,9.93
Born to Run,1975-01-01,1984-12-07,9.93
Born in the U.S.A.,1984-01-01,1984-12-06,0.93
Badlands,1978-01-01,1984-12-06,6.93
Darlington County,1984-01-01,1984-12-06,0.93
Atlantic City,1982-01-01,1984-12-06,2.93
The River,1980-01-01,1984-12-06,4.93
Johnny 99,1982-01-01,1984-12-06,2.93
No Surrender,1984-01-01,1984-12-06,0.93
Out in the Street,1980-01-01,1984-12-06,4.93
Glory Days,1984-01-01,1984-12-06,0.93
The Promised Land,1978-01-01,1984-12-06,6.93
My Hometown,1984-01-01,1984-12-06,0.93
Prove It All Night,1978-01-01,1984-12-06,6.93
Thunder Road,1975-01-01,1984-12-06,9.93
Cover Me,1984-01-01,1984-12-06,0.93
Dancing in the Dark,1984-01-01,1984-12-06,0.93
Hungry Heart,1980-01-01,1984-12-06,4.93
Cadillac Ranch,1980-01-01,1984-12-06,4.93
Downbound Train,1984-01-01,1984-12-06,0.93
I’m on Fire,1984-01-01,1984-12-06,0.93
Bobby Jean,1984-01-01,1984-12-06,0.93
Racing in the Street,1978-01-01,1984-12-06,6.93
Jungleland,1975-01-01,1984-12-06,9.93
Born to Run,1975-01-01,1984-12-06,9.93
Born in the U.S.A.,1984-01-01,1984-12-02,0.92
Badlands,1978-01-01,1984-12-02,6.92
Darlington County,1984-01-01,1984-12-02,0.92
Atlantic City,1982-01-01,1984-12-02,2.92
The River,1980-01-01,1984-12-02,4.92
Johnny 99,1982-01-01,1984-12-02,2.92
Reason to Believe,1982-01-01,1984-12-02,2.92
Out in the Street,1980-01-01,1984-12-02,4.92
Glory Days,1984-01-01,1984-12-02,0.92
The Promised Land,1978-01-01,1984-12-02,6.92
My Hometown,1984-01-01,1984-12-02,0.92
Prove It All Night,1978-01-01,1984-12-02,6.92
Thunder Road,1975-01-01,1984-12-02,9.92
Cover Me,1984-01-01,1984-12-02,0.92
Dancing in the Dark,1984-01-01,1984-12-02,0.92
Hungry Heart,1980-01-01,1984-12-02,4.92
Cadillac Ranch,1980-01-01,1984-12-02,4.92
No Surrender,1984-01-01,1984-12-02,0.92
I’m on Fire,1984-01-01,1984-12-02,0.92
Bobby Jean,1984-01-01,1984-12-02,0.92
Racing in the Street,1978-01-01,1984-12-02,6.92
Jungleland,1975-01-01,1984-12-02,9.92
Born to Run,1975-01-01,1984-12-02,9.92
Born in the U.S.A.,1984-01-01,1984-11-30,0.91
Prove It All Night,1978-01-01,1984-11-30,6.91
Darlington County,1984-01-01,1984-11-30,0.91
Darkness on the Edge of Town,1978-01-01,1984-11-30,6.91
The River,1980-01-01,1984-11-30,4.91
Johnny 99,1982-01-01,1984-11-30,2.91
Reason to Believe,1982-01-01,1984-11-30,2.91
Out in the Street,1980-01-01,1984-11-30,4.91
Glory Days,1984-01-01,1984-11-30,0.91
The Promised Land,1978-01-01,1984-11-30,6.91
My Hometown,1984-01-01,1984-11-30,0.91
Badlands,1978-01-01,1984-11-30,6.91
Thunder Road,1975-01-01,1984-11-30,9.91
Cover Me,1984-01-01,1984-11-30,0.91
Dancing in the Dark,1984-01-01,1984-11-30,0.91
Hungry Heart,1980-01-01,1984-11-30,4.91
Cadillac Ranch,1980-01-01,1984-11-30,4.91
No Surrender,1984-01-01,1984-11-30,0.91
I’m on Fire,1984-01-01,1984-11-30,0.91
Growin’ Up,1973-01-01,1984-11-30,11.91
Bobby Jean,1984-01-01,1984-11-30,0.91
Racing in the Street,1978-01-01,1984-11-30,6.91
Jungleland,1975-01-01,1984-11-30,9.91
Born to Run,1975-01-01,1984-11-30,9.91
Born in the U.S.A.,1984-01-01,1984-11-29,0.91
Out in the Street,1980-01-01,1984-11-29,4.91
Prove It All Night,1978-01-01,1984-11-29,6.91
Atlantic City,1982-01-01,1984-11-29,2.91
Factory,1978-01-01,1984-11-29,6.91
Johnny 99,1982-01-01,1984-11-29,2.91
Reason to Believe,1982-01-01,1984-11-29,2.91
Mansion on the Hill,1982-01-01,1984-11-29,2.91
I’m Goin’ Down,1984-01-01,1984-11-29,0.91
Darlington County,1984-01-01,1984-11-29,0.91
Glory Days,1984-01-01,1984-11-29,0.91
The Promised Land,1978-01-01,1984-11-29,6.91
My Hometown,1984-01-01,1984-11-29,0.91
Badlands,1978-01-01,1984-11-29,6.91
Thunder Road,1975-01-01,1984-11-29,9.91
Cover Me,1984-01-01,1984-11-29,0.91
Dancing in the Dark,1984-01-01,1984-11-29,0.91
Hungry Heart,1980-01-01,1984-11-29,4.91
Cadillac Ranch,1980-01-01,1984-11-29,4.91
Downbound Train,1984-01-01,1984-11-29,0.91
I’m on Fire,1984-01-01,1984-11-29,0.91
Bobby Jean,1984-01-01,1984-11-29,0.91
Racing in the Street,1978-01-01,1984-11-29,6.91
Jungleland,1975-01-01,1984-11-29,9.91
Born to Run,1975-01-01,1984-11-29,9.91
Born in the U.S.A.,1984-01-01,1984-11-26,0.90
Out in the Street,1980-01-01,1984-11-26,4.90
Prove It All Night,1978-01-01,1984-11-26,6.90
Darkness on the Edge of Town,1978-01-01,1984-11-26,6.90
Factory,1978-01-01,1984-11-26,6.90
Johnny 99,1982-01-01,1984-11-26,2.90
Reason to Believe,1982-01-01,1984-11-26,2.90
Mansion on the Hill,1982-01-01,1984-11-26,2.90
I’m Goin’ Down,1984-01-01,1984-11-26,0.90
Glory Days,1984-01-01,1984-11-26,0.90
The Promised Land,1978-01-01,1984-11-26,6.90
My Hometown,1984-01-01,1984-11-26,0.90
Badlands,1978-01-01,1984-11-26,6.90
Thunder Road,1975-01-01,1984-11-26,9.90
Cover Me,1984-01-01,1984-11-26,0.90
Dancing in the Dark,1984-01-01,1984-11-26,0.90
Hungry Heart,1980-01-01,1984-11-26,4.90
Cadillac Ranch,1980-01-01,1984-11-26,4.90
No Surrender,1984-01-01,1984-11-26,0.90
Because the Night,2010-01-01,1984-11-26,-25.10
Growin’ Up,1973-01-01,1984-11-26,11.90
Bobby Jean,1984-01-01,1984-11-26,0.90
Racing in the Street,1978-01-01,1984-11-26,6.90
Jungleland,1975-01-01,1984-11-26,9.90
Born to Run,1975-01-01,1984-11-26,9.90
Born in the U.S.A.,1984-01-01,1984-11-25,0.90
Prove It All Night,1978-01-01,1984-11-25,6.90
Darlington County,1984-01-01,1984-11-25,0.90
Atlantic City,1982-01-01,1984-11-25,2.90
Johnny 99,1982-01-01,1984-11-25,2.90
Reason to Believe,1982-01-01,1984-11-25,2.90
Nebraska,1982-01-01,1984-11-25,2.90
Out in the Street,1980-01-01,1984-11-25,4.90
Glory Days,1984-01-01,1984-11-25,0.90
The Promised Land,1978-01-01,1984-11-25,6.90
My Hometown,1984-01-01,1984-11-25,0.90
Badlands,1978-01-01,1984-11-25,6.90
Thunder Road,1975-01-01,1984-11-25,9.90
Cover Me,1984-01-01,1984-11-25,0.90
Dancing in the Dark,1984-01-01,1984-11-25,0.90
Hungry Heart,1980-01-01,1984-11-25,4.90
Cadillac Ranch,1980-01-01,1984-11-25,4.90
Downbound Train,1984-01-01,1984-11-25,0.90
I’m on Fire,1984-01-01,1984-11-25,0.90
Bobby Jean,1984-01-01,1984-11-25,0.90
Racing in the Street,1978-01-01,1984-11-25,6.90
Jungleland,1975-01-01,1984-11-25,9.90
Born to Run,1975-01-01,1984-11-25,9.90
Born in the U.S.A.,1984-01-01,1984-11-23,0.90
Out in the Street,1980-01-01,1984-11-23,4.90
Darlington County,1984-01-01,1984-11-23,0.90
Atlantic City,1982-01-01,1984-11-23,2.89
Johnny 99,1982-01-01,1984-11-23,2.89
Reason to Believe,1982-01-01,1984-11-23,2.89
Nebraska,1982-01-01,1984-11-23,2.89
Mansion on the Hill,1982-01-01,1984-11-23,2.89
Prove It All Night,1978-01-01,1984-11-23,6.89
Glory Days,1984-01-01,1984-11-23,0.90
The Promised Land,1978-01-01,1984-11-23,6.89
My Hometown,1984-01-01,1984-11-23,0.90
Badlands,1978-01-01,1984-11-23,6.89
Thunder Road,1975-01-01,1984-11-23,9.89
Cover Me,1984-01-01,1984-11-23,0.90
Dancing in the Dark,1984-01-01,1984-11-23,0.90
Hungry Heart,1980-01-01,1984-11-23,4.90
Cadillac Ranch,1980-01-01,1984-11-23,4.90
Downbound Train,1984-01-01,1984-11-23,0.90
I’m on Fire,1984-01-01,1984-11-23,0.90
Stolen Car,1980-01-01,1984-11-23,4.90
Bobby Jean,1984-01-01,1984-11-23,0.90
Racing in the Street,1978-01-01,1984-11-23,6.89
Jungleland,1975-01-01,1984-11-23,9.89
Born to Run,1975-01-01,1984-11-23,9.89
Born in the U.S.A.,1984-01-01,1984-11-19,0.88
Prove It All Night,1978-01-01,1984-11-19,6.88
Out in the Street,1980-01-01,1984-11-19,4.88
Atlantic City,1982-01-01,1984-11-19,2.88
Johnny 99,1982-01-01,1984-11-19,2.88
Reason to Believe,1982-01-01,1984-11-19,2.88
Nebraska,1982-01-01,1984-11-19,2.88
Darlington County,1984-01-01,1984-11-19,0.88
Glory Days,1984-01-01,1984-11-19,0.88
I’m Goin’ Down,1984-01-01,1984-11-19,0.88
The Promised Land,1978-01-01,1984-11-19,6.88
My Hometown,1984-01-01,1984-11-19,0.88
Badlands,1978-01-01,1984-11-19,6.88
Thunder Road,1975-01-01,1984-11-19,9.88
Cover Me,1984-01-01,1984-11-19,0.88
Dancing in the Dark,1984-01-01,1984-11-19,0.88
Hungry Heart,1980-01-01,1984-11-19,4.88
Cadillac Ranch,1980-01-01,1984-11-19,4.88
No Surrender,1984-01-01,1984-11-19,0.88
I’m on Fire,1984-01-01,1984-11-19,0.88
Bobby Jean,1984-01-01,1984-11-19,0.88
Racing in the Street,1978-01-01,1984-11-19,6.88
Jungleland,1975-01-01,1984-11-19,9.88
Born to Run,1975-01-01,1984-11-19,9.88
Born in the U.S.A.,1984-01-01,1984-11-18,0.88
Out in the Street,1980-01-01,1984-11-18,4.88
Darlington County,1984-01-01,1984-11-18,0.88
Atlantic City,1982-01-01,1984-11-18,2.88
Johnny 99,1982-01-01,1984-11-18,2.88
Reason to Believe,1982-01-01,1984-11-18,2.88
Nebraska,1982-01-01,1984-11-18,2.88
Prove It All Night,1978-01-01,1984-11-18,6.88
Glory Days,1984-01-01,1984-11-18,0.88
The Promised Land,1978-01-01,1984-11-18,6.88
My Hometown,1984-01-01,1984-11-18,0.88
Badlands,1978-01-01,1984-11-18,6.88
Thunder Road,1975-01-01,1984-11-18,9.88
Cover Me,1984-01-01,1984-11-18,0.88
Dancing in the Dark,1984-01-01,1984-11-18,0.88
Hungry Heart,1980-01-01,1984-11-18,4.88
Cadillac Ranch,1980-01-01,1984-11-18,4.88
Downbound Train,1984-01-01,1984-11-18,0.88
I’m on Fire,1984-01-01,1984-11-18,0.88
Bobby Jean,1984-01-01,1984-11-18,0.88
Racing in the Street,1978-01-01,1984-11-18,6.88
Jungleland,1975-01-01,1984-11-18,9.88
Born to Run,1975-01-01,1984-11-18,9.88
Born in the U.S.A.,1984-01-01,1984-11-16,0.88
Out in the Street,1980-01-01,1984-11-16,4.88
Atlantic City,1982-01-01,1984-11-16,2.87
Johnny 99,1982-01-01,1984-11-16,2.87
Reason to Believe,1982-01-01,1984-11-16,2.87
Nebraska,1982-01-01,1984-11-16,2.87
Prove It All Night,1978-01-01,1984-11-16,6.87
Glory Days,1984-01-01,1984-11-16,0.88
The Promised Land,1978-01-01,1984-11-16,6.87
My Hometown,1984-01-01,1984-11-16,0.88
Badlands,1978-01-01,1984-11-16,6.87
Thunder Road,1975-01-01,1984-11-16,9.88
Cover Me,1984-01-01,1984-11-16,0.88
Dancing in the Dark,1984-01-01,1984-11-16,0.88
Hungry Heart,1980-01-01,1984-11-16,4.88
Cadillac Ranch,1980-01-01,1984-11-16,4.88
Downbound Train,1984-01-01,1984-11-16,0.88
I’m on Fire,1984-01-01,1984-11-16,0.88
Bobby Jean,1984-01-01,1984-11-16,0.88
Racing in the Street,1978-01-01,1984-11-16,6.87
Jungleland,1975-01-01,1984-11-16,9.88
Born to Run,1975-01-01,1984-11-16,9.88
Born in the U.S.A.,1984-01-01,1984-11-15,0.87
Out in the Street,1980-01-01,1984-11-15,4.87
Darlington County,1984-01-01,1984-11-15,0.87
Atlantic City,1982-01-01,1984-11-15,2.87
Johnny 99,1982-01-01,1984-11-15,2.87
Reason to Believe,1982-01-01,1984-11-15,2.87
Mansion on the Hill,1982-01-01,1984-11-15,2.87
Prove It All Night,1978-01-01,1984-11-15,6.87
Glory Days,1984-01-01,1984-11-15,0.87
The Promised Land,1978-01-01,1984-11-15,6.87
My Hometown,1984-01-01,1984-11-15,0.87
Badlands,1978-01-01,1984-11-15,6.87
Thunder Road,1975-01-01,1984-11-15,9.87
Cover Me,1984-01-01,1984-11-15,0.87
Dancing in the Dark,1984-01-01,1984-11-15,0.87
Hungry Heart,1980-01-01,1984-11-15,4.87
Cadillac Ranch,1980-01-01,1984-11-15,4.87
Downbound Train,1984-01-01,1984-11-15,0.87
I’m on Fire,1984-01-01,1984-11-15,0.87
Bobby Jean,1984-01-01,1984-11-15,0.87
Racing in the Street,1978-01-01,1984-11-15,6.87
Jungleland,1975-01-01,1984-11-15,9.87
Born to Run,1975-01-01,1984-11-15,9.87
Born in the U.S.A.,1984-01-01,1984-11-12,0.87
Out in the Street,1980-01-01,1984-11-12,4.87
Darlington County,1984-01-01,1984-11-12,0.87
Atlantic City,1982-01-01,1984-11-12,2.86
Reason to Believe,1982-01-01,1984-11-12,2.86
Nebraska,1982-01-01,1984-11-12,2.86
State Trooper,1982-01-01,1984-11-12,2.86
Prove It All Night,1978-01-01,1984-11-12,6.86
Glory Days,1984-01-01,1984-11-12,0.87
The Promised Land,1978-01-01,1984-11-12,6.86
My Hometown,1984-01-01,1984-11-12,0.87
Badlands,1978-01-01,1984-11-12,6.86
Thunder Road,1975-01-01,1984-11-12,9.86
